"[20181229_161135 / libfx_2.py:2957] "							
"#####"	"#####"	"#####"	"#####"	"#####"	"#####"	"#####"	"#####"
"Source csv"						"44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-01).20180926_205209.csv"	
"Pair"	"EURJPY"						
"Period"	": H1"						
"#####"	"#####"	"#####"	"#####"	"#####"	"#####"	"#####"	"#####"
"a0[0]"	"a0[1].dateTime"	"close"	"BB.main"	"BB.+1"	"BB.+2"	"e0(-1).dateTime"	
							
1	"2018.01.02 11:00"	135.496	135.371	135.513	135.656		
1	"2018.01.02 13:00"	135.35	135.394	135.495	135.597		
1	"2018.01.03 10:00"	135.29	135.303	135.402	135.501		
1	"2018.01.03 17:00"	135.14	135.229	135.424	135.619		
1	"2018.01.03 19:00"	135.105	135.197	135.385	135.574		
1	"2018.01.03 21:00"	135.214	135.175	135.357	135.538		
1	"2018.01.04 19:00"	136.165	135.636	135.99	136.343		
1	"2018.01.05 02:00"	136.205	135.913	136.22	136.526		
1	"2018.01.05 15:00"	136.449	136.278	136.425	136.572		
1	"2018.01.05 17:00"	136.292	136.294	136.431	136.568		
1	"2018.01.05 19:00"	136.333	136.318	136.431	136.544		
1	"2018.01.08 03:00"	136.258	136.309	136.433	136.557		
2	"2018.01.03 02:00"	135.469	135.346	135.477	135.609		
2	"2018.01.03 15:00"	135.042	135.26	135.434	135.609		
2	"2018.01.04 07:00"	135.415	135.16	135.337	135.514		
2	"2018.01.05 00:00"	136.141	135.835	136.167	136.498		
2	"2018.01.05 10:00"	136.456	136.21	136.333	136.457		
2	"2018.01.05 13:00"	136.481	136.246	136.39	136.534		
2	"2018.01.08 01:00"	136.212	136.321	136.444	136.567		
3	"2018.01.02 02:00"	135.47	135.083	135.358	135.633	"2018.01.02 01:00"	
3	"2018.01.03 07:00"	135.389	135.312	135.411	135.51	"2018.01.03 06:00"	
4	"2018.01.05 07:00"	136.411	136.12	136.284	136.448	"2018.01.05 06:00"	
5	"2018.01.02 09:00"	135.568	135.325	135.507	135.688	"2018.01.02 08:00"	
6	"2018.01.02 23:00"	135.429	135.347	135.477	135.608	"2018.01.02 22:00"	
6	"2018.01.04 04:00"	135.384	135.138	135.294	135.45	"2018.01.04 03:00"	
8	"2018.01.04 16:00"	136.322	135.49	135.806	136.123	"2018.01.04 15:00"	
