			source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135341.2018-08.csv
			log = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180924_102243.log
			csv = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180924_102243.(csv).csv
id,dateTime,dateTime_Local,PC,dif-0,dif-1,dif-2,rsi.-1,rsi.-2,rsi.-3,mfi.-1,mfi.-2,mfi.-3
431,2018.08.07 18:00,2018.08.08 01:00,128.934,0.013,0.010,0.027,54.251,54.495,50.100,57.019,52.433,47.323
430,2018.08.07 19:00,2018.08.08 02:00,128.945,0.010,0.027,0.185,54.847,54.251,54.495,58.219,57.019,52.433
429,2018.08.07 20:00,2018.08.08 03:00,128.958,0.027,0.185,0.023,55.199,54.847,54.251,60.942,58.219,57.019
424,2018.08.08 01:00,2018.08.08 08:00,129.154,0.026,0.016,0.038,61.719,63.292,64.431,67.725,74.504,72.206
423,2018.08.08 02:00,2018.08.08 09:00,129.181,0.016,0.038,0.036,62.804,61.719,63.292,64.486,67.725,74.504
277,2018.08.16 04:00,2018.08.16 11:00,125.430,0.515,0.123,0.127,41.830,41.359,43.031,32.951,33.289,32.474
206,2018.08.21 03:00,2018.08.21 10:00,126.354,0.222,0.052,0.097,53.086,52.366,55.947,49.678,53.672,58.995
205,2018.08.21 04:00,2018.08.21 11:00,126.577,0.052,0.097,0.192,59.354,53.086,52.366,51.754,49.678,53.672
191,2018.08.21 18:00,2018.08.22 01:00,127.265,0.157,0.258,0.201,67.909,68.661,62.417,69.312,68.555,64.765
180,2018.08.22 05:00,2018.08.22 12:00,127.544,0.202,0.085,0.004,63.429,63.561,62.199,61.275,60.752,59.766
173,2018.08.22 12:00,2018.08.22 19:00,127.769,0.061,0.136,0.073,64.568,62.547,64.620,69.165,67.866,63.647
172,2018.08.22 13:00,2018.08.22 20:00,127.833,0.136,0.073,0.181,65.817,64.568,62.547,68.913,69.165,67.866
150,2018.08.23 11:00,2018.08.23 18:00,128.170,0.027,0.015,0.174,62.277,62.690,60.795,49.017,49.021,48.186
146,2018.08.23 15:00,2018.08.23 22:00,128.286,0.040,0.266,0.140,63.259,68.034,63.455,49.408,54.448,48.592
132,2018.08.24 05:00,2018.08.24 12:00,128.567,0.134,0.111,0.009,61.844,65.138,62.598,62.469,67.935,63.266
131,2018.08.24 06:00,2018.08.24 13:00,128.701,0.111,0.009,0.053,65.118,61.844,65.138,61.924,62.469,67.935
126,2018.08.24 11:00,2018.08.24 18:00,128.741,0.111,0.049,0.107,62.771,67.119,68.817,60.819,61.530,66.718
125,2018.08.24 12:00,2018.08.24 19:00,128.852,0.049,0.107,0.034,65.537,62.771,67.119,64.946,60.819,61.530
124,2018.08.24 13:00,2018.08.24 20:00,128.900,0.107,0.034,0.027,66.668,65.537,62.771,63.497,64.946,60.819
123,2018.08.24 14:00,2018.08.24 21:00,129.008,0.034,0.027,0.011,68.984,66.668,65.537,62.633,63.497,64.946
122,2018.08.24 15:00,2018.08.24 22:00,129.043,0.027,0.011,0.246,69.716,68.984,66.668,68.588,62.633,63.497
96,2018.08.27 17:00,2018.08.28 00:00,129.351,0.242,0.114,0.085,61.213,57.554,54.706,47.666,42.053,41.292
88,2018.08.28 01:00,2018.08.28 08:00,129.683,0.056,0.113,0.165,64.835,66.007,68.008,47.774,48.755,46.366
75,2018.08.28 14:00,2018.08.28 21:00,129.933,0.155,0.051,0.099,63.427,63.301,62.113,59.970,60.612,60.914
49,2018.08.29 16:00,2018.08.29 23:00,129.896,0.385,0.296,0.202,52.267,46.884,44.205,28.573,23.135,28.677
48,2018.08.29 17:00,2018.08.30 00:00,130.273,0.296,0.202,0.014,62.782,52.267,46.884,35.277,28.573,23.135
44,2018.08.29 21:00,2018.08.30 04:00,130.606,0.062,0.059,0.014,65.183,71.765,71.504,55.307,53.801,50.237
43,2018.08.29 22:00,2018.08.30 05:00,130.668,0.059,0.014,0.066,66.251,65.183,71.765,52.500,55.307,53.801


